"ulb","applicationnumber","applicationdate","licenseissueddate","status","createddate","lastmodifieddate"
"Paralakhemundi","MR-PRL-2022-01-15-000371","2022-01-15 17:25:14+05:30",NULL,"DOCVERIFICATION","2022-01-15 17:25:14+05:30","2022-01-15 17:36:02+05:30"
"Paralakhemundi","MR-PRL-2022-01-15-000373","2022-01-15 17:48:44+05:30","2022-01-18 11:58:57+05:30","CANCELLED","2022-01-15 17:48:44+05:30","2022-01-19 16:44:09+05:30"
"Balugaon","MR-BLG-2022-01-15-000374","2022-01-15 19:26:11+05:30",NULL,"DOCVERIFICATION","2022-01-15 19:26:11+05:30","2022-01-15 20:08:53+05:30"
"Sambalpur","MR-SMB-2022-01-15-000375","2022-01-15 19:38:59+05:30",NULL,"DOCVERIFICATION","2022-01-15 19:38:59+05:30","2022-01-17 19:15:34+05:30"
"Keonjhargarh","MR-KNJ-2022-01-15-000376","2022-01-15 22:11:29+05:30",NULL,"DOCVERIFICATION","2022-01-15 22:11:29+05:30","2022-01-16 21:31:40+05:30"
"Keonjhargarh","MR-KNJ-2022-01-17-000388","2022-01-17 13:21:11+05:30",NULL,"DOCVERIFICATION","2022-01-17 13:21:11+05:30","2022-01-18 13:34:59+05:30"
"Balugaon","MR-BLG-2022-01-17-000390","2022-01-17 13:56:53+05:30",NULL,"PENDINGSCHEDULE","2022-01-17 13:56:53+05:30","2022-01-18 12:22:26+05:30"
"Binka","MR-BNK-2022-01-17-000396","2022-01-17 15:10:37+05:30","2022-01-17 17:05:31+05:30","APPROVED","2022-01-17 15:10:37+05:30","2022-01-17 17:05:30+05:30"
"Khariarroad","MR-KRR-2022-01-17-000398","2022-01-17 15:48:59+05:30",NULL,"DOCVERIFICATION","2022-01-17 15:48:59+05:30","2022-01-17 16:50:11+05:30"
"Gunupur","MR-GNP-2022-01-17-000401","2022-01-17 17:12:01+05:30","2022-01-17 18:10:35+05:30","CANCELLED","2022-01-17 17:12:01+05:30","2022-01-19 13:00:22+05:30"
"Baripada","MR-BRP-2022-01-17-000402","2022-01-17 17:22:03+05:30","2022-01-19 16:08:06+05:30","APPROVED","2022-01-17 17:22:03+05:30","2022-01-19 16:08:06+05:30"
"Cuttack","MR-CTC-2022-01-17-000404","2022-01-17 20:44:16+05:30",NULL,"DOCVERIFICATION","2022-01-17 20:44:16+05:30","2022-01-18 11:59:42+05:30"
"Rourkela","MR-RRK-2022-01-18-000407","2022-01-18 11:48:45+05:30","2022-01-18 16:10:10+05:30","APPROVED","2022-01-18 11:48:45+05:30","2022-01-18 16:10:09+05:30"
"Konark","MR-KON-2022-01-18-000409","2022-01-18 12:52:40+05:30",NULL,"DOCVERIFICATION","2022-01-18 12:52:40+05:30","2022-01-18 13:12:10+05:30"
"Berhampur","MR-BAM-2022-01-18-000412","2022-01-18 14:01:14+05:30",NULL,"PENDINGAPPROVAL","2022-01-18 14:01:14+05:30","2022-01-18 19:23:44+05:30"
"Rajgangpur","MR-RJG-2022-01-18-000415","2022-01-18 15:36:14+05:30",NULL,"PENDINGPAYMENT","2022-01-18 15:36:14+05:30","2022-01-19 17:03:52+05:30"
"Cuttack","MR-CTC-2022-01-18-000418","2022-01-18 15:41:50+05:30","2022-01-18 15:49:57+05:30","APPROVED","2022-01-18 15:41:50+05:30","2022-01-18 15:49:57+05:30"
"Rourkela","MR-RRK-2022-01-18-000420","2022-01-18 17:11:21+05:30",NULL,"DOCVERIFICATION","2022-01-18 17:11:21+05:30","2022-01-18 17:22:01+05:30"
"Rambha","MR-RMB-2022-01-18-000421","2022-01-18 17:28:26+05:30",NULL,"PENDINGAPPROVAL","2022-01-18 17:28:26+05:30","2022-01-19 17:14:37+05:30"
"Paradeep","MR-PDP-2022-01-18-000422","2022-01-18 17:36:21+05:30","2022-01-18 19:18:24+05:30","APPROVED","2022-01-18 17:36:21+05:30","2022-01-18 19:18:24+05:30"
"Cuttack","MR-CTC-2022-01-18-000423","2022-01-18 19:08:53+05:30","2022-01-18 19:19:22+05:30","APPROVED","2022-01-18 19:08:53+05:30","2022-01-18 19:19:22+05:30"
"Binka","MR-BNK-2022-01-19-000427","2022-01-19 08:53:45+05:30","2022-01-19 09:08:00+05:30","APPROVED","2022-01-19 08:53:45+05:30","2022-01-19 09:07:59+05:30"
"Tusura","MR-TSR-2022-01-19-000434","2022-01-19 12:13:46+05:30",NULL,"DOCVERIFICATION","2022-01-19 12:13:46+05:30","2022-01-19 13:00:34+05:30"
"Jatni","MR-JTN-2022-01-19-000435","2022-01-19 12:17:45+05:30","2022-01-19 12:52:47+05:30","APPROVED","2022-01-19 12:17:45+05:30","2022-01-19 12:52:47+05:30"
"Gunupur","MR-GNP-2022-01-19-000438","2022-01-19 13:07:50+05:30","2022-01-19 13:36:35+05:30","APPROVED","2022-01-19 13:07:50+05:30","2022-01-19 13:36:35+05:30"
"Kamakhyanagar","MR-KMN-2022-01-19-000441","2022-01-19 15:47:25+05:30","2022-01-19 16:11:54+05:30","APPROVED","2022-01-19 15:47:25+05:30","2022-01-19 16:11:53+05:30"
"Cuttack","MR-CTC-2022-01-19-000442","2022-01-19 15:47:59+05:30",NULL,"DOCVERIFICATION","2022-01-19 15:47:59+05:30","2022-01-19 17:07:46+05:30"
